rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822123031317949,,123,,1501822123,31317949,"""map""",,,1294.57871949,-1777.58290589,-5.60174904136,,0.008338020567,0.0189133711254,0.584619350864,0.811044373879
1501822123036323070,,125,,1501822123,36323070,"""map""",,,1294.57861442,-1777.5826431,-5.60174207248,,0.00833293527275,0.0189197074992,0.584620125241,0.811043720167
1501822123041313886,,127,,1501822123,41313886,"""map""",,,1294.57851069,-1777.5823756,-5.60173273712,,0.00832798172871,0.0189246338337,0.58462169762,0.811042522699
1501822123046319007,,163,,1501822123,46319007,"""map""",,,1294.57840787,-1777.58210408,-5.60172251307,,0.00832697666861,0.0189264328167,0.584622401007,0.811041984019
1501822123051310062,,186,,1501822123,51310062,"""map""",,,1294.57830781,-1777.58183461,-5.60171206059,,0.00832638182467,0.0189252133685,0.584624895047,0.8110402208
1501822123056314945,,251,,1501822123,56314945,"""map""",,,1294.57820752,-1777.58156314,-5.6017025071,,0.0083299703155,0.0189251755661,0.58462666426,0.811038909523
1501822123061312913,,273,,1501822123,61312913,"""map""",,,1294.57811177,-1777.58129185,-5.60169498955,,0.00833496762759,0.0189261134828,0.584628972182,0.811037172655
1501822123066318035,,337,,1501822123,66318035,"""map""",,,1294.57801866,-1777.58101777,-5.60168853034,,0.00833735266963,0.0189281975446,0.584630557256,0.811035956916
1501822123071316003,,359,,1501822123,71316003,"""map""",,,1294.57792746,-1777.58073906,-5.60168079522,,0.00833669930489,0.0189287255011,0.584632640986,0.811034449262
1501822123076320886,,423,,1501822123,76320886,"""map""",,,1294.57783558,-1777.58045503,-5.60167055582,,0.00832701894636,0.0189345466519,0.584637395754,0.811030985342
1501822123086330890,,500,,1501822123,86330890,"""map""",,,1294.57765598,-1777.57986801,-5.60164894653,,0.0083187706747,0.0189377784127,0.584637901864,0.811030629697
1501822123091317892,,520,,1501822123,91317892,"""map""",,,1294.57756785,-1777.57956894,-5.60163959441,,0.0083120192094,0.0189414498834,0.584639146488,0.811029715982
1501822123096323013,,587,,1501822123,96323013,"""map""",,,1294.57748223,-1777.57926699,-5.60163220793,,0.00830699220068,0.0189439536297,0.584640746631,0.811028555527
1501822123101306915,,607,,1501822123,101306915,"""map""",,,1294.57739906,-1777.57896548,-5.60162740312,,0.00830487838649,0.0189440412665,0.584643074362,0.811026897147
1501822123106312036,,672,,1501822123,106312036,"""map""",,,1294.5773169,-1777.57866285,-5.60162464984,,0.00830630925295,0.0189445543297,0.584645097376,0.81102541218
1501822123111316919,,694,,1501822123,111316919,"""map""",,,1294.57723788,-1777.57835974,-5.60162387658,,0.00831052138185,0.0189419762107,0.584647465555,0.811023722089
1501822123116322040,,731,,1501822123,116322040,"""map""",,,1294.57715923,-1777.57805751,-5.60162313258,,0.00831205533501,0.0189372483295,0.584648754381,0.811022887694
1501822123121309995,,752,,1501822123,121309995,"""map""",,,1294.57707919,-1777.57775335,-5.60162289372,,0.00831408833612,0.0189313898742,0.584650040646,0.811022076386
1501822123126315116,,818,,1501822123,126315116,"""map""",,,1294.5769988,-1777.57744645,-5.6016231622,,0.00831259142754,0.0189292758978,0.584651193377,0.811021310091
1501822123131309986,,838,,1501822123,131309986,"""map""",,,1294.5769199,-1777.577134,-5.60162581681,,0.00831084529712,0.0189278965814,0.584651558659,0.811021096852
1501822123136315107,,904,,1501822123,136315107,"""map""",,,1294.57684223,-1777.57681841,-5.60163000368,,0.00830736005071,0.0189306435075,0.584651340635,0.811021225616
1501822123141313076,,925,,1501822123,141313076,"""map""",,,1294.57676726,-1777.57649717,-5.60163654671,,0.00830217272298,0.0189348964658,0.584649779145,0.8110223051
1501822123146317958,,990,,1501822123,146317958,"""map""",,,1294.57669365,-1777.57616995,-5.60164480802,,0.00829851171939,0.0189378422736,0.584648580464,0.811023137891
1501822123151314973,,1011,,1501822123,151314973,"""map""",,,1294.57662133,-1777.57584048,-5.60165310204,,0.0082960904181,0.0189365805086,0.584648964216,0.811022915486
1501822123156320095,,1077,,1501822123,156320095,"""map""",,,1294.57654753,-1777.57550904,-5.60166103212,,0.00829722129789,0.018934870872,0.584648658918,0.811023163917
1501822123181322097,,1116,,1501822123,181322097,"""map""",,,1294.57618117,-1777.57384309,-5.60172917713,,0.00830680971475,0.018911023901,0.584646786833,0.811024971707
1501822123191324949,,1195,,1501822123,191324949,"""map""",,,1294.57603737,-1777.57315241,-5.60176250577,,0.00829521786159,0.0189089456856,0.584641844385,0.811028701667
1501822123201319932,,1256,,1501822123,201319932,"""map""",,,1294.5758916,-1777.57243319,-5.60179420774,,0.00828460842655,0.0189060142048,0.584639243036,0.811030753666
