rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1501822123031317949,,9,,1501822123,31317949,"""map""",,,1294.57892829,-1777.58343618,-5.60176535297,,0.00834590176418,0.018899700941,0.58461709242,0.811046239421
1501822123036323070,,73,,1501822123,36323070,"""map""",,,1294.57882322,-1777.58317339,-5.60175838045,,0.00834310586068,0.0189070347504,0.584618576448,0.811045027537
1501822123041313886,,91,,1501822123,41313886,"""map""",,,1294.57871949,-1777.58290589,-5.60174904136,,0.008338020567,0.0189133711254,0.584619350864,0.811044373879
1501822123046319007,,161,,1501822123,46319007,"""map""",,,1294.57861667,-1777.58263437,-5.60173881352,,0.0083330670159,0.018918297456,0.584620923272,0.811043176463
1501822123051310062,,182,,1501822123,51310062,"""map""",,,1294.57851661,-1777.5823649,-5.60172835726,,0.00833206195215,0.0189200964359,0.584621626672,0.811042637795
1501822123056314945,,248,,1501822123,56314945,"""map""",,,1294.57841632,-1777.58209343,-5.60171879997,,0.00833146708762,0.0189188769728,0.584624120703,0.811040874582
1501822123061312913,,270,,1501822123,61312913,"""map""",,,1294.57832058,-1777.58182214,-5.60171127859,,0.00833505556431,0.0189188391552,0.584625889925,0.811039563279
1501822123066318035,,334,,1501822123,66318035,"""map""",,,1294.57822746,-1777.58154806,-5.60170481551,,0.00834005285892,0.0189197770518,0.584628197868,0.811037826376
1501822123071316003,,356,,1501822123,71316003,"""map""",,,1294.57813627,-1777.58126935,-5.60169707643,,0.00834243789044,0.0189218611012,0.584629782965,0.811036610625
1501822123076320886,,420,,1501822123,76320886,"""map""",,,1294.57804438,-1777.58098532,-5.60168683299,,0.00834178451001,0.0189223890454,0.584631866698,0.811035102979
1501822123086330890,,495,,1501822123,86330890,"""map""",,,1294.57786479,-1777.5803983,-5.60166521531,,0.00833210412085,0.0189282101779,0.584636621495,0.811031639153
1501822123091317892,,518,,1501822123,91317892,"""map""",,,1294.57777665,-1777.58009923,-5.60165585891,,0.00832385584906,0.018931441945,0.584637127613,0.811031283581
1501822123096323013,,582,,1501822123,96323013,"""map""",,,1294.57769104,-1777.57979727,-5.60164846808,,0.00831710437818,0.0189351134158,0.584638372252,0.811030369928
1501822123101306915,,605,,1501822123,101306915,"""map""",,,1294.57760787,-1777.57949577,-5.60164365893,,0.00831207735983,0.0189376171579,0.584639972405,0.811029209519
1501822123106312036,,669,,1501822123,106312036,"""map""",,,1294.57752571,-1777.57919314,-5.60164090128,,0.00830996352774,0.0189377047827,0.584642300134,0.811027551158
1501822123111316919,,691,,1501822123,111316919,"""map""",,,1294.57744669,-1777.57889003,-5.60164012363,,0.00831139437879,0.0189382178316,0.584644323157,0.811026066183
1501822123116322040,,727,,1501822123,116322040,"""map""",,,1294.57736804,-1777.5785878,-5.60163937525,,0.00831560648637,0.0189356396929,0.584646691327,0.811024376057
1501822123121309995,,749,,1501822123,121309995,"""map""",,,1294.577288,-1777.57828363,-5.60163913198,,0.00831714042473,0.0189309118017,0.58464798012,0.811023541641
1501822123126315116,,813,,1501822123,126315116,"""map""",,,1294.57720761,-1777.57797673,-5.60163939603,,0.00831917340993,0.0189250533357,0.584649266345,0.811022730305
1501822123131309986,,835,,1501822123,131309986,"""map""",,,1294.57712871,-1777.57766428,-5.60164204609,,0.0083176764904,0.0189229393538,0.584650419057,0.811021964019
1501822123136315107,,900,,1501822123,136315107,"""map""",,,1294.57705104,-1777.57734869,-5.60164622837,,0.00831593035593,0.0189215600369,0.584650784324,0.811021750792
1501822123141313076,,921,,1501822123,141313076,"""map""",,,1294.57697607,-1777.57702746,-5.60165276672,,0.00831244511418,0.0189243069685,0.584650566314,0.811021879588
1501822123146317958,,988,,1501822123,146317958,"""map""",,,1294.57690246,-1777.57670024,-5.60166102323,,0.0083072578032,0.0189285599427,0.584649004845,0.81102295912
1501822123151314973,,1009,,1501822123,151314973,"""map""",,,1294.57683014,-1777.57637077,-5.60166931242,,0.00830359681213,0.0189315057623,0.584647806178,0.811023791945
1501822123156320095,,1075,,1501822123,156320095,"""map""",,,1294.57675635,-1777.57603932,-5.60167723764,,0.00830117550681,0.0189302439976,0.584648189916,0.811023569556
1501822123181322097,,1112,,1501822123,181322097,"""map""",,,1294.57638999,-1777.57437337,-5.60174535823,,0.00831171703387,0.0189064174607,0.584648453685,0.811023827235
1501822123186326980,,1177,,1501822123,186326980,"""map""",,,1294.57631833,-1777.5740316,-5.60176228968,,0.00831189479462,0.0189046873901,0.584646012354,0.811025625636
1501822123191324949,,1190,,1501822123,191324949,"""map""",,,1294.57624619,-1777.5736827,-5.60177867671,,0.00830840333574,0.0189039417624,0.584643274091,0.811027652722
1501822123201319932,,1254,,1501822123,201319932,"""map""",,,1294.57610042,-1777.57296347,-5.60181036808,,0.00829411770389,0.0189011217228,0.584639598336,0.811030514387
1501822123206325054,,1317,,1501822123,206325054,"""map""",,,1294.5760303,-1777.57259761,-5.6018271227,,0.00828969356214,0.018899677766,0.584638468462,0.811031407749
1501822123211316108,,1340,,1501822123,211316108,"""map""",,,1294.57596084,-1777.57223165,-5.60184476775,,0.00828741966962,0.0188955980898,0.584637303932,0.811032365506
1501822123216320991,,1402,,1501822123,216320991,"""map""",,,1294.57589516,-1777.57186277,-5.6018643511,,0.0082886029295,0.0188936917303,0.584634638457,0.811034319243
1501822123226330995,,1461,,1501822123,226330995,"""map""",,,1294.5757611,-1777.57112351,-5.60190286799,,0.00829888536494,0.0188831423623,0.584635050288,0.811034162912
